836.00,0.04,5.49,471.20,2588.47,4.79
837.00,0.05,5.45,482.70,2632.32,4.79
837.00,0.05,5.45,491.90,2678.55,4.81
837.00,0.05,5.41,500.90,2711.52,4.81
836.00,0.06,5.42,510.40,2767.03,4.82
836.00,0.06,5.41,519.10,2810.04,4.82
835.00,0.07,5.41,527.30,2850.20,4.82
837.00,0.07,5.39,536.10,2889.18,4.82
837.00,0.07,5.36,543.70,2912.73,4.82
835.00,0.08,5.33,552.00,2943.93,4.83
836.00,0.08,5.31,559.30,2969.43,4.83
837.00,0.09,5.29,566.70,2995.10,4.83
835.00,0.09,5.26,571.80,3008.32,4.84
837.00,0.09,5.25,580.00,3042.17,4.84
837.00,0.10,5.22,584.90,3053.82,4.84
838.00,0.09,5.21,-0.00,-0.00,4.84
837.00,0.09,5.22,586.20,3060.61,4.84
837.00,0.09,5.23,579.40,3029.74,4.84
834.00,0.10,5.21,586.30,3051.74,4.84
835.00,0.10,5.19,592.50,3074.52,4.84
837.00,0.11,5.18,598.20,3099.31,4.84
836.00,0.11,5.17,603.90,3119.17,4.84
837.00,0.11,5.14,610.90,3140.65,4.85
838.00,0.12,5.13,614.60,3154.75,4.85
837.00,0.12,5.11,620.50,3170.13,4.85
835.00,0.13,5.08,625.20,3179.12,4.85
836.00,0.13,5.06,630.40,3190.42,4.85
835.00,0.13,5.04,635.00,3203.53,4.85
838.00,0.14,5.02,639.20,3209.36,4.86
836.00,0.13,5.00,641.40,3205.00,4.86
835.00,0.13,5.02,638.70,3206.85,4.86
835.00,0.13,5.04,-0.00,-0.00,4.86
837.00,0.14,5.01,638.00,3198.23,4.86
836.00,0.14,5.00,642.30,3209.50,4.86
835.00,0.15,4.97,647.40,3219.43,4.86
835.00,0.15,4.96,651.40,3228.89,4.86
836.00,0.15,4.93,655.40,3232.97,4.86
835.00,0.16,4.92,659.10,3240.66,4.86
836.00,0.15,4.89,661.80,3238.04,4.86
834.00,0.16,4.91,657.90,3229.50,4.86
834.00,0.16,4.89,662.20,3240.00,4.86
835.00,0.16,4.87,666.50,3245.03,4.86
835.00,0.16,4.84,668.60,3239.19,4.86
834.00,0.16,4.87,666.60,3245.51,4.86
834.00,0.16,4.88,661.60,3231.76,4.86
835.00,0.16,4.86,665.40,3234.34,4.86
835.00,0.17,4.84,669.50,3238.19,4.86
834.00,0.16,4.81,671.60,3232.21,4.86
837.00,0.17,4.83,667.70,3224.13,4.86
833.00,0.17,4.80,671.90,3228.27,4.86
835.00,0.17,4.78,673.60,3220.26,4.86
835.00,0.16,4.80,671.00,3223.95,4.86
836.00,0.17,4.82,668.50,3222.64,4.86
834.00,0.16,4.80,670.20,3214.74,4.86
836.00,0.16,4.82,667.70,3218.79,4.86
836.00,0.16,4.84,665.60,3219.32,4.86
834.00,0.15,4.86,662.40,3219.76,4.86
835.00,0.15,4.90,658.10,3225.21,4.88
835.00,0.15,4.92,653.40,3217.87,4.88
835.00,0.16,4.90,658.70,3228.15,4.88
834.00,0.15,4.88,660.50,3221.10,4.88
835.00,0.15,4.90,657.30,3221.29,4.88
834.00,0.15,4.92,653.60,3213.62,4.88
834.00,0.16,4.90,657.30,3221.29,4.88
834.00,0.16,4.88,661.40,3225.49,4.88
834.00,0.16,4.85,665.90,3231.44,4.88
834.00,0.17,4.84,668.70,3234.32,4.88
835.00,0.16,4.81,669.90,3224.03,4.88
834.00,0.16,4.83,669.60,3233.31,4.88
833.00,0.16,4.85,665.90,3231.44,4.88
833.00,0.16,4.83,668.90,3229.93,4.88
834.00,0.16,4.84,663.90,3216.42,4.87
835.00,0.17,4.83,670.30,3236.69,4.88
834.00,0.16,4.80,672.00,3228.75,4.88
835.00,0.17,4.84,666.90,3225.61,4.89
834.00,0.17,4.80,672.40,3230.68,4.88
836.00,0.18,4.79,675.10,3232.84,4.88
836.00,0.17,4.76,675.90,3220.43,4.88
835.00,0.17,4.78,675.00,3226.95,4.88
835.00,0.17,4.80,671.40,3225.87,4.88
834.00,0.17,4.78,674.40,3224.08,4.88
834.00,0.16,4.80,672.00,3228.75,4.88
833.00,0.17,4.83,-0.00,-0.00,4.88
833.00,0.17,4.80,673.50,3235.96,4.88
833.00,0.17,4.79,675.10,3232.84,4.88
833.00,0.16,4.80,673.40,3235.48,4.88
834.00,0.16,4.83,670.10,3235.72,4.88
834.00,0.16,4.84,664.90,3221.26,4.88
834.00,0.17,4.83,668.60,3228.48,4.88
836.00,0.16,4.80,671.00,3223.95,4.88
835.00,0.16,4.83,668.40,3227.51,4.88
834.00,0.16,4.84,664.60,3219.81,4.88
835.00,0.16,4.83,666.50,3218.34,4.88
836.00,0.16,4.84,662.40,3209.15,4.88
834.00,0.17,4.83,666.30,3217.37,4.88
835.00,0.16,4.80,669.10,3214.82,4.88
838.00,0.16,4.84,698.80,3385.50,4.89
1023.00,0.16,4.96,840.40,4172.46,4.97
1023.00,0.16,4.98,-0.00,-0.00,4.97
1023.00,0.16,4.96,841.60,4178.42,4.97
1023.00,0.17,4.94,846.80,4183.89,4.97
1023.00,0.17,4.92,854.00,4205.79,4.98
1023.00,0.18,4.90,860.30,4216.15,4.98
1023.00,0.18,4.88,868.50,4242.42,4.98
1023.00,0.18,4.86,873.90,4247.81,4.98
1023.00,0.19,4.84,884.30,4284.20,4.98
1023.00,0.18,4.82,888.30,4282.23,4.98
1023.00,0.18,4.84,884.90,4287.10,4.98
1023.00,0.18,4.87,885.90,4313.23,4.99
1023.00,0.18,4.89,881.20,4311.52,4.99
1023.00,0.18,4.87,886.10,4314.20,4.98
1023.00,0.19,4.85,890.30,4320.39,4.99
1023.00,0.18,4.83,894.60,4319.77,4.99
1023.00,0.18,4.85,891.90,4328.16,4.99
1023.00,0.18,4.88,886.80,4324.71,4.99
1023.00,0.18,4.85,887.40,4306.32,5.00
1023.00,0.18,4.88,879.90,4291.06,5.00
1023.00,0.19,4.86,884.40,4298.85,5.00
1023.00,0.19,4.84,890.10,4305.17,5.00
1023.00,0.20,4.82,893.80,4308.75,5.00
1023.00,0.19,4.80,896.40,4299.75,5.00
1023.00,0.20,4.81,892.00,4292.93,5.00
1023.00,0.20,4.80,897.80,4306.46,5.00
1023.00,0.20,4.77,901.60,4303.03,5.00
1023.00,0.19,4.80,902.40,4328.53,5.00
1023.00,0.19,4.82,898.80,4332.85,5.00
1023.00,0.18,4.84,896.00,4340.88,5.00
1023.00,0.19,4.86,885.50,4304.19,5.01
1023.00,0.19,4.84,890.20,4305.65,5.01
1023.00,0.20,4.82,896.50,4321.77,5.01
1023.00,0.19,4.80,900.40,4318.94,5.01
1023.00,0.20,4.80,849.40,4081.11,5.00
888.00,0.19,4.68,689.20,3228.61,4.92
888.00,0.20,4.72,-0.00,-0.00,4.95
887.00,0.20,4.62,693.00,3202.02,4.85
887.00,0.20,4.60,696.50,3201.45,4.84
887.00,0.19,4.61,694.80,3204.77,4.84
887.00,0.19,4.64,694.40,3219.61,4.84
887.00,0.18,4.66,692.30,3226.50,4.84
886.00,0.19,4.68,689.30,3223.56,4.84
885.00,0.18,4.65,691.30,3216.30,4.84
885.00,0.18,4.68,689.20,3223.09,4.84
885.00,0.18,4.70,684.90,3219.43,4.84
885.00,0.19,4.68,689.00,3222.16,4.84
884.00,0.18,4.65,689.70,3208.86,4.84
884.00,0.18,4.68,690.40,3228.70,4.84
884.00,0.18,4.69,685.60,3217.23,4.84
882.00,0.19,4.68,689.30,3223.56,4.84
884.00,0.18,4.65,690.40,3212.12,4.84
885.00,0.18,4.68,687.40,3214.67,4.83
883.00,0.18,4.69,684.80,3213.48,4.83
884.00,0.19,4.68,687.20,3213.74,4.83
884.00,0.19,4.65,694.40,3230.73,4.84
885.00,0.19,4.63,694.10,3212.66,4.84
883.00,0.18,4.65,692.20,3220.49,4.83
883.00,0.19,4.67,687.30,3208.70,4.83
884.00,0.18,4.65,689.50,3207.93,4.83
885.00,0.19,4.67,686.80,3206.37,4.83
883.00,0.19,4.65,689.60,3208.39,4.83
883.00,0.19,4.63,691.50,3200.62,4.83
885.00,0.18,4.65,689.20,3206.53,4.83
884.00,0.19,4.67,686.40,3204.50,4.83
886.00,0.18,4.65,688.40,3202.81,4.83
885.00,0.18,4.67,686.10,3203.10,4.83
885.00,0.18,4.68,683.30,3200.97,4.83
886.00,0.19,4.67,686.40,3204.50,4.83
884.00,0.18,4.65,687.80,3200.02,4.83
886.00,0.19,4.67,684.90,3197.50,4.83
886.00,0.18,4.65,687.20,3197.23,4.83
886.00,0.18,4.67,686.30,3204.03,4.83
885.00,0.18,4.69,683.60,3207.85,4.83
885.00,0.17,4.71,682.10,3211.73,4.83
885.00,0.18,4.73,678.20,3209.66,4.83
886.00,0.17,4.71,680.70,3205.14,4.83
884.00,0.18,4.73,676.90,3203.51,4.83
883.00,0.18,4.71,681.10,3207.03,4.83
881.00,0.18,4.69,683.10,3205.50,4.83
882.00,0.18,4.71,679.80,3200.91,4.83
880.00,0.18,4.69,682.50,3202.69,4.83
882.00,0.18,4.67,684.10,3193.76,4.83
881.00,0.18,4.69,680.70,3194.24,4.83
880.00,0.17,4.71,678.60,3195.25,4.83
880.00,0.17,4.73,675.80,3198.31,4.83
879.00,0.17,4.75,672.50,3193.46,4.83
880.00,0.18,4.73,675.20,3195.47,4.83
878.00,0.17,4.71,677.70,3191.02,4.83
882.00,0.18,4.73,673.90,3189.31,4.83
881.00,0.17,4.71,676.20,3183.95,4.83
879.00,0.17,4.73,673.60,3187.89,4.83
878.00,0.17,4.75,670.40,3183.49,4.83
879.00,0.18,4.73,673.90,3189.31,4.83
878.00,0.17,4.71,676.70,3186.31,4.83
877.00,0.17,4.73,673.80,3188.84,4.83
876.00,0.17,4.75,670.30,3183.01,4.83
876.00,0.18,4.73,673.20,3186.00,4.83
875.00,0.17,4.71,675.60,3181.13,4.83
876.00,0.18,4.73,671.60,3178.43,4.83
875.00,0.18,4.71,675.60,3181.13,4.83
873.00,0.18,4.68,676.90,3170.99,4.83
875.00,0.17,4.71,674.50,3175.95,4.83
875.00,0.17,4.73,673.30,3186.47,4.83
874.00,0.17,4.75,669.50,3179.21,4.83
873.00,0.18,4.73,672.10,3180.79,4.83
876.00,0.17,4.71,673.70,3172.18,4.83
874.00,0.17,4.73,671.90,3179.85,4.83
875.00,0.17,4.75,669.30,3178.26,4.83
874.00,0.17,4.73,671.40,3177.48,4.83
875.00,0.16,4.75,669.30,3178.26,4.83
875.00,0.16,4.77,666.20,3179.55,4.83
876.00,0.16,4.79,662.00,3170.10,4.83
876.00,0.17,4.77,666.10,3179.07,4.83
876.00,0.16,4.75,669.10,3177.31,4.83
877.00,0.17,4.77,665.40,3175.73,4.83
877.00,0.16,4.75,667.90,3171.62,4.83
877.00,0.16,4.77,666.60,3181.46,4.83
877.00,0.16,4.79,664.20,3180.64,4.83
879.00,0.16,4.77,-0.00,-0.00,4.83
879.00,0.16,4.79,661.40,3167.23,4.83
879.00,0.15,4.81,659.40,3173.49,4.83
879.00,0.16,4.83,655.10,3163.29,4.83
878.00,0.16,4.81,657.40,3163.87,4.83
878.00,0.16,4.79,660.40,3162.44,4.83
881.00,0.16,4.81,657.10,3162.42,4.83
881.00,0.16,4.79,660.10,3161.01,4.83
880.00,0.15,4.81,657.40,3163.87,4.83
883.00,0.16,4.83,653.70,3156.53,4.83
882.00,0.15,4.80,656.40,3153.80,4.83
882.00,0.16,4.83,652.70,3151.70,4.83
882.00,0.16,4.81,656.20,3158.09,4.83
883.00,0.16,4.79,659.90,3160.05,4.83
885.00,0.16,4.76,663.20,3159.92,4.83
885.00,0.16,4.79,659.70,3159.09,4.83
885.00,0.17,4.76,663.70,3162.30,4.83
885.00,0.16,4.75,662.70,3146.92,4.83
886.00,0.17,4.76,660.20,3145.62,4.83
886.00,0.16,4.74,661.60,3136.40,4.83
886.00,0.16,4.76,661.00,3149.44,4.83
886.00,0.16,4.79,655.60,3139.46,4.83
888.00,0.17,4.76,660.80,3148.48,4.83
887.00,0.16,4.75,662.40,3145.50,4.83
887.00,0.17,4.76,659.00,3139.91,4.83
887.00,0.17,4.75,662.70,3146.92,4.83
888.00,0.17,4.72,664.80,3140.92,4.83
887.00,0.16,4.75,663.00,3148.35,4.83
889.00,0.17,4.76,659.80,3143.72,4.83
889.00,0.16,4.74,662.50,3140.67,4.83
888.00,0.16,4.76,659.30,3141.34,4.82
891.00,0.16,4.79,656.20,3142.33,4.83
890.00,0.15,4.80,654.50,3144.67,4.83
890.00,0.16,4.83,650.00,3138.67,4.83
891.00,0.15,4.80,652.60,3135.54,4.83
891.00,0.15,4.83,649.50,3136.25,4.83
892.00,0.15,4.84,645.40,3126.79,4.83
891.00,0.16,4.83,649.60,3136.73,4.83
894.00,0.15,4.80,652.40,3134.58,4.83
891.00,0.16,4.83,649.00,3133.84,4.83
893.00,0.15,4.80,651.50,3130.26,4.82
894.00,0.16,4.83,646.20,3120.32,4.83
894.00,0.16,4.80,650.90,3127.37,4.83
895.00,0.16,4.78,652.40,3118.91,4.83
897.00,0.15,4.80,649.40,3120.17,4.83
896.00,0.16,4.82,645.70,3112.73,4.83
897.00,0.16,4.80,649.30,3119.69,4.83
897.00,0.16,4.78,653.00,3121.78,4.82
898.00,0.16,4.76,654.10,3116.56,4.82
898.00,0.16,4.78,652.30,3118.43,4.82
897.00,0.16,4.80,649.00,3118.25,4.82
897.00,0.16,4.78,651.10,3112.69,4.82
898.00,0.15,4.80,649.30,3119.69,4.82
900.00,0.16,4.82,644.10,3105.02,4.82
900.00,0.16,4.80,647.10,3109.12,4.83
899.00,0.16,4.78,650.80,3111.26,4.82
901.00,0.16,4.76,650.10,3097.50,4.82
900.00,0.16,4.78,648.60,3100.74,4.82
901.00,0.15,4.80,645.70,3102.39,4.82
902.00,0.16,4.82,640.20,3086.22,4.82
901.00,0.16,4.80,642.40,3086.53,4.82
903.00,0.16,4.78,645.30,3084.97,4.82
903.00,0.16,4.80,641.40,3081.73,4.82
903.00,0.16,4.78,643.60,3076.84,4.82
906.00,0.16,4.80,639.60,3067.96,4.82
906.00,0.16,4.77,642.70,3067.39,4.82
906.00,0.16,4.79,639.30,3061.40,4.81
908.00,0.16,4.77,-0.00,-0.00,4.81
906.00,0.15,4.79,639.50,3062.36,4.81
906.00,0.15,4.80,637.40,3062.51,4.81
905.00,0.15,4.83,632.90,3056.09,4.81
905.00,0.16,4.80,636.60,3058.67,4.81
906.00,0.15,4.78,638.70,3053.41,4.81
905.00,0.15,4.80,636.40,3057.71,4.81
908.00,0.15,4.83,632.30,3053.20,4.79
908.00,0.16,4.80,636.80,3059.63,4.81
909.00,0.15,4.79,638.10,3055.65,4.81
909.00,0.16,4.80,635.50,3053.38,4.81
908.00,0.15,4.79,637.60,3053.26,4.81
906.00,0.15,4.80,635.60,3053.86,4.81
908.00,0.15,4.83,631.60,3049.82,4.81
906.00,0.16,4.80,636.40,3057.71,4.81
908.00,0.16,4.79,639.00,3059.96,4.81
908.00,0.16,4.76,641.10,3054.62,4.81
907.00,0.15,4.79,638.20,3056.13,4.81
908.00,0.16,4.80,635.90,3055.30,4.81
908.00,0.15,4.79,-0.00,-0.00,4.81
908.00,0.15,4.80,639.30,3071.64,4.81
909.00,0.15,4.83,635.20,3067.20,4.81
907.00,0.16,4.80,640.60,3077.89,4.81
907.00,0.15,4.79,642.20,3075.29,4.81
906.00,0.15,4.80,640.20,3075.96,4.81
907.00,0.15,4.83,635.80,3070.10,4.81
908.00,0.15,4.80,638.50,3067.80,4.81
908.00,0.15,4.83,636.20,3072.03,4.81
908.00,0.15,4.84,631.90,3061.39,4.81
909.00,0.15,4.83,634.90,3065.75,4.81
907.00,0.15,4.80,637.50,3062.99,4.81
911.00,0.15,4.83,634.00,3061.41,4.81
910.00,0.15,4.80,636.40,3057.71,4.81
910.00,0.15,4.83,632.30,3053.20,4.79
910.00,0.16,4.80,637.10,3061.07,4.81
909.00,0.16,4.79,640.80,3068.58,4.81
909.00,0.16,4.76,643.80,3067.48,4.79
906.00,0.15,4.79,642.80,3078.16,4.81
908.00,0.16,4.80,639.40,3072.12,4.81
909.00,0.15,4.79,641.40,3071.46,4.81
908.00,0.16,4.80,638.40,3067.32,4.81
910.00,0.16,4.79,641.90,3073.85,4.81
910.00,0.16,4.76,642.80,3062.72,4.81
909.00,0.15,4.79,642.40,3076.25,4.81
908.00,0.16,4.80,639.30,3071.64,4.81
911.00,0.16,4.79,642.20,3075.29,4.81
908.00,0.16,4.76,646.40,3079.87,4.81
910.00,0.16,4.74,648.60,3074.77,4.81
909.00,0.16,4.76,-0.00,-0.00,4.81
907.00,0.17,4.74,647.30,3068.61,4.79
910.00,0.17,4.72,650.70,3074.31,4.81
909.00,0.17,4.70,-0.00,-0.00,4.81
910.00,0.16,4.72,649.80,3070.05,4.81
908.00,0.16,4.75,648.40,3079.02,4.81
909.00,0.16,4.76,646.70,3081.30,4.81
910.00,0.15,4.79,644.60,3086.78,4.81
907.00,0.16,4.80,642.20,3085.57,4.79
908.00,0.16,4.79,645.10,3089.18,4.81
908.00,0.16,4.76,648.70,3090.83,4.81
908.00,0.17,4.75,651.80,3095.16,4.81
906.00,0.16,4.72,655.10,3095.09,4.81
909.00,0.16,4.75,653.30,3102.28,4.81
907.00,0.16,4.76,650.80,3100.84,4.81
908.00,0.16,4.75,652.20,3097.06,4.81
907.00,0.16,4.76,649.20,3093.21,4.81
908.00,0.17,4.75,652.20,3097.06,4.81
908.00,0.16,4.72,655.40,3096.51,4.81
908.00,0.17,4.75,-0.00,-0.00,4.81
907.00,0.17,4.72,655.00,3094.62,4.81
906.00,0.17,4.71,656.70,3092.14,4.81
907.00,0.16,4.72,655.20,3095.57,4.81
909.00,0.17,4.75,651.30,3092.79,4.81
908.00,0.17,4.72,655.40,3096.51,4.81
907.00,0.18,4.71,658.60,3101.08,4.81
909.00,0.17,4.68,660.60,3094.63,4.81
907.00,0.17,4.71,658.60,3101.08,4.81
908.00,0.16,4.72,658.10,3109.27,4.81
907.00,0.16,4.75,655.60,3113.21,4.81
906.00,0.16,4.76,651.60,3104.65,4.81
906.00,0.17,4.75,654.60,3108.46,4.81
905.00,0.17,4.73,658.60,3116.90,4.81
904.00,0.17,4.71,661.60,3115.21,4.81
907.00,0.16,4.73,659.30,3120.22,4.81
901.00,0.17,4.75,656.80,3118.91,4.81
897.00,0.17,4.77,655.20,3127.05,4.86
905.00,0.17,4.75,658.40,3126.50,4.86
